ncbigene_id	name	chr	start	stop
1	A1BG	19	58345182	58353491
2	A2M	12	9067707	9116228
3	A2MP1	12	9228532	9234206
9	NAT1	8	18170418	18223688
10	NAT2	8	18386584	18401218
11	NATP	8	18369909	18371877
12	SERPINA3	14	94612390	94624052
13	AADAC	3	151814007	151828487
14	AAMP	2	218264126	218270180
15	AANAT	17	76453350	76470796
16	AARS1	16	70252294	70289508
18	ABAT	16	8674616	8784569
19	ABCA1	9	104781005	104928231
20	ABCA2	9	137007233	137028921
21	ABCA3	16	2275880	2340727
22	ABCB7	X	75051047	75156282
23	ABCF1	6	30571441	30591521
24	ABCA4	1	93992833	94121147
25	ABL1	9	130713042	130887674
26	AOC1	7	150824874	150861503
27	ABL2	1	179099329	179229692
28	ABO	9	133250400	133275200
29	ABR	17	1003518	1229721
30	ACAA1	3	38122709	38137126
31	ACACA	17	37084991	37406835
32	ACACB	12	109112665	109268225
33	ACADL	2	210187922	210225446
34	ACADM	1	75724708	75763678
35	ACADS	12	120725825	120740007
36	ACADSB	10	123009005	123058289
37	ACADVL	17	7217124	7225265
38	ACAT1	11	108116704	108148821
39	ACAT2	6	159762044	159779111
40	ASIC2	17	33013086	34156767
41	ASIC1	12	50057595	50083621
43	ACHE	7	100889993	100896993
47	ACLY	17	41866915	41930541
48	ACO1	9	32384642	32454768
49	ACR	22	50738203	50745338
50	ACO2	22	41468755	41528978
51	ACOX1	17	75941506	75979198
52	ACP1	2	264946	278282
53	ACP2	11	47239301	47248813
54	ACP5	19	11574659	11578982
55	ACP3	3	132317402	132368764
56	ACRV1	11	125671521	125680846
58	ACTA1	1	229431244	229434093
59	ACTA2	10	88935073	88991396
60	ACTB	7	5527147	5530600
62	ACTBP2	5	77784802	77786596
63	ACTBP3	18	59693045	59693472
64	ACTBP4	5	131658439	131660198
66	ACTBP6	8	84948508	84950267
67	ACTBP7	15	43988477	43990264
68	ACTBP8	6	88275304	88277072
69	ACTBP9	18	62441923	62443714
70	ACTC1	15	34790229	34795548
71	ACTG1	17	81509970	81512798
72	ACTG2	2	73893007	73919864
73	ACTG1P1	3	139493742	139495681
74	ACTG1P2	Y	17756196	17758297
75	ACTG1P3	20	1160511	1162194
81	ACTN4	19	38647648	38731588
82	ACTG1P9	6	46204911	46206560
83	ACTG1P10	X	53141687	53143983
86	ACTL6A	3	179562925	179588406
87	ACTN1	14	68874122	68979301
88	ACTN2	1	236686498	236764630
89	ACTN3	11	66546394	66563333
90	ACVR1	2	157736445	157876329
91	ACVR1B	12	51951695	51997077
92	ACVR2A	2	147844516	147930821
93	ACVR2B	3	38453889	38493141
94	ACVRL1	12	51906912	51923360
95	ACY1	3	51983534	51989196
97	ACYP1	14	75053242	75069489
98	ACYP2	2	53970837	54305299
100	ADA	20	44619521	44651698
101	ADAM8	10	133262421	133276890
102	ADAM10	15	58588808	58749706
103	ADAR	1	154582056	154627996
104	ADARB1	21	45074577	45226562
105	ADARB2	10	1177312	1737524
107	ADCY1	7	45574139	45723115
108	ADCY2	5	7396137	7830080
109	ADCY3	2	24819168	24920236
111	ADCY5	3	123282295	123449089
112	ADCY6	12	48766193	48789088
113	ADCY7	16	50246137	50318134
114	ADCY8	8	130780299	131041603
115	ADCY9	16	3953386	4116441
116	ADCYAP1	18	904383	912171
117	ADCYAP1R1	7	31052307	31111473
118	ADD1	4	2843843	2930064
119	ADD2	2	70656783	70768199
120	ADD3	10	109996364	110135564
123	PLIN2	9	19108390	19127517
124	ADH1A	4	99276368	99290984
125	ADH1B	4	99304970	99321400
126	ADH1C	4	99336496	99352745
127	ADH4	4	99123657	99144296
128	ADH5	4	99070977	99088787
130	ADH6	4	99202638	99219245
131	ADH7	4	99412262	99435341
132	ADK	10	74151184	74709299
133	ADM	11	10305072	10307396
134	ADORA1	1	203127704	203167404
135	ADORA2A	22	24423596	24442356
136	ADORA2B	17	15927781	15975745
137	ADORA2BP1	1	209744349	209745675
140	ADORA3	1	111499428	111503632
141	ADPRH	3	119579491	119589944
142	PARP1	1	226360690	226408092
143	PARP4	13	24420929	24512992
144	PARP1P1	13	110936623	110940231
145	PARP1P2	14	63123000	63123934
146	ADRA1D	20	4220629	4249286
147	ADRA1B	5	159916481	159989204
148	ADRA1A	8	26738112	26870993
150	ADRA2A	10	111077028	111080906
151	ADRA2B	2	96112875	96116570
152	ADRA2C	4	3766384	3768525
153	ADRB1	10	114043865	114046903
154	ADRB2	5	148826610	148828622
155	ADRB3	8	37962989	37966598
156	GRK2	11	67266419	67286555
157	GRK3	22	25564674	25729293
158	ADSL	22	40346499	40387526
159	ADSS2	1	244408493	244452059
160	AP2A1	19	49767000	49807113
161	AP2A2	11	925849	1012239
162	AP1B1	22	29327679	29388569
163	AP2B1	17	35587264	35726412
164	AP1G1	16	71728999	71808833
165	AEBP1	7	44104319	44114563
166	TLE5	19	3052909	3063106
167	CRISP1	6	49833938	49877095
172	AFG3L1P	16	89972579	90000786
173	AFM	4	73481744	73504000
174	AFP	4	73436220	73456173
175	AGA	4	177430773	177442468
176	ACAN	15	88803435	88875352
177	AGER	6	32180968	32184379
178	AGL	1	99850076	99924022
181	AGRP	16	67482570	67483546
182	JAG1	20	10637683	10673998
183	AGT	1	230702522	230745582
185	AGTR1	3	148697902	148743002
186	AGTR2	X	116170743	116174973
187	APLNR	11	57233590	57237249
189	AGXT	2	240868823	240880499
190	NR0B1	X	30304205	30309389
191	AHCY	20	34235011	34311975
196	AHR	7	17298651	17346146
197	AHSG	3	186613059	186621317
199	AIF1	6	31615211	31617014
202	CRYBG1	6	106360716	106572016
203	AK1	9	127866479	127885541
204	AK2	1	33007939	33036882
205	AK4	1	65147341	65232144
206	AK4P1	17	31345315	31347700
207	AKT1	14	104769348	104795747
208	AKT2	19	40230316	40285530
210	ALAD	9	113386311	113401300
211	ALAS1	3	52198082	52214326
212	ALAS2	X	55009054	55030976
213	ALB	4	73404286	73421481
214	ALCAM	3	105366908	105576899
215	ABCD1	X	153724850	153744754
216	ALDH1A1	9	72900670	72953052
217	ALDH2	12	111766932	111817531
218	ALDH3A1	17	19737983	19748389
219	ALDH1B1	9	38392701	38398664
220	ALDH1A3	15	100879830	100916625
221	ALDH3B1	11	68008546	68029275
222	ALDH3B2	11	67662154	67681251
223	ALDH9A1	1	165662215	165698561
224	ALDH3A2	17	19648135	19677595
225	ABCD2	12	39530964	39651332
226	ALDOA	16	30064278	30070419
228	ALDOAP2	10	125666679	125668055
229	ALDOB	9	101420559	101435773
230	ALDOC	17	28573114	28576962
231	AKR1B1	7	134442349	134459238
236	AKR1B1P2	3	74135926	74137587
238	ALK	2	29190991	29921588
239	ALOX12	17	6993790	7010753
240	ALOX5	10	45374208	45446120
241	ALOX5AP	13	30713484	30764425
242	ALOX12B	17	8072635	8087715
243	ALOX12P1	17	30529685	30541839
245	ALOX12P2	17	6853575	6900348
246	ALOX15	17	4630918	4641677
247	ALOX15B	17	8039058	8049133
248	ALPI	2	232456152	232460752
249	ALPL	1	21508983	21578411
250	ALPP	2	232378750	232382888
251	ALPG	2	232406843	232410713
257	ALX3	1	110059869	110070671
258	AMBN	4	70592255	70607287
259	AMBP	9	114060126	114078299
262	AMD1	6	110814616	110895712
263	AMD1P2	X|Y	57014615	57016346
263	AMD1P2	X|Y	155828095	155829826
265	AMELX	X	11293412	11304148
266	AMELY	Y	6865917	6911751
267	AMFR	16	56361451	56425544
268	AMH	19	2249322	2252072
269	AMHR2	12	53423854	53431671
270	AMPD1	1	114673097	114695545
271	AMPD2	1	109619836	109632054
272	AMPD3	11	10450387	10507578
273	AMPH	7	38383693	38631496
274	BIN1	2	127048022	127107153
275	AMT	3	49416777	49422472
276	AMY1A	1	103655518	103664553
277	AMY1B	1	103687414	103696452
278	AMY1C	1	103745429	103758691
279	AMY2A	1	103617426	103625779
280	AMY2B	1	103554643	103579533
281	AMYP1	1	103713719	103719904
283	ANG	14	20684176	20694185
284	ANGPT1	8	107249481	107497917
285	ANGPT2	8	6499631	6563244
286	ANK1	8	41653224	41896740
287	ANK2	4	112705621	113383735
288	ANK3	10	60026297	60733527
290	ANPEP	15	89784894	89814851
291	SLC25A4	4	185143265	185150381
292	SLC25A5	X	119468443	119471395
293	SLC25A6	X|Y	1386151	1392112
301	ANXA1	9	73151864	73170392
302	ANXA2	15	60347150	60398024
303	ANXA2P1	4	153307468	153308810
304	ANXA2P2	9	33624224	33625533
305	ANXA2P3	10	64825527	64826876
306	ANXA3	4	78551760	78610446
307	ANXA4	2	69643807	69827111
308	ANXA5	4	121667945	121696993
309	ANXA6	5	151100705	151157778
310	ANXA7	10	73375100	73414057
311	ANXA11	10	80150888	80205807
312	ANXA13	8	123680793	123737392
313	AOAH	7	36509312	36724543
314	AOC2	17	42844579	42850706
316	AOX1	2	200585951	200677063
317	APAF1	12	98645140	98735432
318	NUDT2	9	34329568	34343712
319	APOF	12	56360567	56362856
320	APBA1	9	69427531	69673011
321	APBA2	15	28885478	29118314
322	APBB1	11	6395123	6419452
323	APBB2	4	40810026	41216713
324	APC	5	112707497	112846238
325	APCS	1	159587825	159588864
326	AIRE	21	44285875	44298647
327	APEH	3	49673101	49683970
328	APEX1	14	20455225	20457766
329	BIRC2	11	102347213	102378669
330	BIRC3	11	102317372	102339402
331	XIAP	X	123859707	123913971
332	BIRC5	17	78214252	78225634
333	APLP1	19	35868569	35879794
334	APLP2	11	130069893	130144804
335	APOA1	11	116835750	116837949
336	APOA2	1	161222291	161223627
337	APOA4	11	116820699	116823303
338	APOB	2	21001428	21044072
339	APOBEC1	12	7649399	7670598
341	APOC1	19	44914324	44919345
342	APOC1P1	19	44926802	44931385
343	AQP8	16	25216916	25228931
344	APOC2	19	44946050	44949564
345	APOC3	11	116829906	116833071
346	APOC4	19	44942236	44945495
347	APOD	3	195568704	195583939
348	APOE	19	44905795	44909392
350	APOH	17	66212032	66229414
351	APP	21	25880549	26171127
353	APRT	16	88809338	88811927
354	KLK3	19	50854914	50860763
355	FAS	10	88968428	89017058
356	FASLG	1	172659102	172666875
357	SHROOM2	X	9786405	9949442
358	AQP1	7	30911852	30925515
359	AQP2	12	49950736	49958877
360	AQP3	9	33441153	33447595
361	AQP4	18	26852037	26865802
362	AQP5	12	49961854	49965681
363	AQP6	12	49972946	49977138
364	AQP7	9	33383134	33402676
366	AQP9	15	58138168	58185910
367	AR	X	67544020	67730618
368	ABCC6	16	16149564	16223616
369	ARAF	X	47561204	47571907
372	ARCN1	11	118572395	118603032
373	TRIM23	5	65589689	65624332
374	AREG	4	74445135	74455004
375	ARF1	1	228082707	228099211
377	ARF3	12	48930251	48957525
378	ARF4	3	57571362	57597343
379	ARL4D	17	43398992	43401136
380	ARF4P1	9	134078700	134079746
381	ARF5	7	127588410	127591699
382	ARF6	14	49893081	49897053
383	ARG1	6	131573225	131584328
384	ARG2	14	67619919	67651707
387	RHOA	3	49359144	49411975
388	RHOB	2	20447073	20449439
389	RHOC	1	112701130	112707407
390	RND3	2	150468192	150487694
391	RHOG	11	3826977	3840958
392	ARHGAP1	11	46677076	46700659
393	ARHGAP4	X	153907377	153926263
394	ARHGAP5	14	32072587	32159727
395	ARHGAP6	X	11137543	11665919
396	ARHGDIA	17	81867718	81871336
397	ARHGDIB	12	14942014	14961600
398	ARHGDIG	16	280590	283009
399	RHOH	4	40191079	40246966
400	ARL1	12	101393115	101407819
401	PHOX2A	11	72239076	72244175
402	ARL2	11	65014159	65022183
403	ARL3	10	102673730	102714396
405	ARNT	1	150809712	150876736
406	ARNTL	11	13276551	13387267
407	ARR3	X	70268333	70281839
408	ARRB1	11	75260121	75351661
409	ARRB2	17	4710618	4721499
410	ARSA	22	50622753	50628151
411	ARSB	5	78777208	78986086
412	STS	X	7147289	7354640
414	ARSD	X	2903971	2929344
415	ARSL	X	2934520	2968244
416	ARSF	X	3040233	3112726
417	ART1	11	3645109	3665515
418	ART2P	11	72520950	72521639
419	ART3	4	76011167	76112790
420	ART4	12	14825568	14843525
421	ARVCF	22	19966726	20016822
427	ASAH1	8	18055991	18084960
429	ASCL1	12	102957673	102960512
430	ASCL2	11	2268497	2270587
432	ASGR1	17	7173430	7179425
433	ASGR2	17	7101321	7115537
434	ASIP	20	34186492	34269343
435	ASL	7	66075818	66093575
436	ASLP1	22	23648668	23653358
438	ASMT	X|Y	1595454	1643080
439	GET3	19	12737105	12748322
440	ASNS	7	97851676	97928440
442	ASNSP2	21	8853354	8853509
443	ASPA	17	3473645	3503404
444	ASPH	8	61500555	61714608
445	ASS1	9	130444706	130501273
447	ASS1P2	2	38810214	38811755
449	ASS1P4	X	3367047	3368608
450	ASS1P5	X	115664792	115666338
451	ASS1P6	Y	11922284	11923777
453	ASS1P8	4	148526259	148527153
454	ASS1P9	5	53859063	53860631
455	ASS1P10	5	145228710	145230284
459	ASS1P14	12	32985737	32987300
460	ASTN1	1	176855116	177164853
462	SERPINC1	1	173903799	173917326
463	ZFHX3	16	72782884	73891930
466	ATF1	12	50763681	50821161
467	ATF3	1	212565406	212620776
468	ATF4	22	39514493	39522685
469	ATF4P1	X	154622339	154623779
471	ATIC	2	215311973	215359744
472	ATM	11	108222483	108369101
473	RERE	1	8352403	8817639
474	ATOH1	4	93828752	93830963
475	ATOX1	5	151742821	151758630
476	ATP1A1	1	116372985	116410258
477	ATP1A2	1	160115758	160143590
478	ATP1A3	19	41966581	41994229
479	ATP12A	13	24680407	24712471
480	ATP1A4	1	160151602	160186979
481	ATP1B1	1	169106689	169132718
482	ATP1B2	17	7646626	7657769
483	ATP1B3	3	141876642	141926548
484	ATP1B3P1	2	60734389	60735924
485	ATP1B1P1	4	42029067	42031263
486	FXYD2	11	117820056	117828088
487	ATP2A1	16	28878487	28904465
488	ATP2A2	12	110281246	110351092
489	ATP2A3	17	3923868	3964463
490	ATP2B1	12	89588048	89709365
491	ATP2B2	3	10324022	10707961
492	ATP2B3	X	153517641	153582928
493	ATP2B4	1	203626831	203744080
495	ATP4A	19	35550030	35563657
496	ATP4B	13	113648803	113658197
498	ATP5F1A	18	46080247	46104226
501	ALDH7A1	5	126541840	126595218
504	ATP5F1AP2	2	155269630	155270036
506	ATP5F1B	12	56638174	56645983
507	ATP5F1BP1	2	98206129	98207897
509	ATP5F1C	10	7788158	7807800
513	ATP5F1D	19	1241750	1244824
514	ATP5F1E	20	59025474	59032334
515	ATP5PB	1	111449463	111462772
516	ATP5MC1	17	48892786	48895870
